dataset,#trainingRelease,%training,%defectiveInTraining,%defectiveInTesting,classifier,balancing,featureSelection,TP,FP,TN,FN,precision,recall,ROC_Area,kappa
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,ibk,oversampling,noFeatureSel,2.0,9.0,363.0,18.0,0.9134223481805034,0.9311224489795918,0.4720430107526882,0.09631147540983638
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,ibk,oversampling,noFeatureSel,12.0,1.0,198.0,4.0,0.9759471474875573,0.9767441860465116,0.7996231155778895,0.8152603540127166
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,ibk,oversampling,noFeatureSel,1.0,66.0,347.0,8.0,0.95693669693054,0.8246445497630331,0.48681732580037657,-0.011728115078079608
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,ibk,oversampling,noFeatureSel,9.0,8.0,416.0,6.0,0.9701884748328722,0.9681093394077449,0.7142295597484277,0.5460186142709413
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,ibk,oversampling,noFeatureSel,9.0,27.0,175.0,268.0,0.3111625046536945,0.38413361169102295,0.5557958322908103,-0.0871036981759153
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,ibk,oversampling,noFeatureSel,269.0,32.0,173.0,18.0,0.8987174804172247,0.8983739837398373,0.9534545763576101,0.7888810696692469
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,ibk,oversampling,noFeatureSel,244.0,56.0,210.0,24.0,0.8552271199462211,0.850187265917603,0.8413688138256088,0.7002357696194004
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,randomForest,undersampling,noFeatureSel,4.0,80.0,292.0,16.0,0.9021114939482286,0.7551020408163265,0.544694289005925,-0.005988023952096011
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,randomForest,undersampling,noFeatureSel,16.0,2.0,197.0,0.0,0.9917312661498708,0.9906976744186047,0.9952889447236182,0.9361449361449363
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,randomForest,undersampling,noFeatureSel,8.0,168.0,245.0,1.0,0.9756640500485143,0.5995260663507109,0.7830239440408931,0.04784918960775422
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,randomForest,undersampling,noFeatureSel,13.0,347.0,77.0,2.0,0.9426138711878742,0.20501138952164008,0.7308176100628929,0.0039915488379652095
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,randomForest,undersampling,noFeatureSel,15.0,78.0,124.0,262.0,0.2287444907404661,0.29018789144050106,0.41995210351360046,-0.2955420498297642
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,randomForest,undersampling,noFeatureSel,271.0,103.0,102.0,16.0,0.7828522009728391,0.758130081300813,0.8853233619444209,0.47032640949554905
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,randomForest,undersampling,noFeatureSel,248.0,105.0,161.0,20.0,0.7956760691490823,0.7659176029962547,0.9220205364156661,0.5312697498700897
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,naiveBayes,undersampling,noFeatureSel,3.0,31.0,341.0,17.0,0.9084181158496918,0.8775510204081632,0.6126179504059688,0.050080775444264904
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,naiveBayes,undersampling,noFeatureSel,0.0,0.0,199.0,16.0,NaN,0.9255813953488372,0.9956030150753769,0.0
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,naiveBayes,undersampling,noFeatureSel,0.0,76.0,337.0,9.0,0.9532161740130948,0.7985781990521327,0.3629270917406511,-0.03964987536954405
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,naiveBayes,undersampling,noFeatureSel,1.0,8.0,416.0,14.0,0.9381822676625876,0.9498861047835991,0.6638364779874215,0.0592246249756487
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,naiveBayes,undersampling,noFeatureSel,2.0,3.0,199.0,275.0,0.4083630629916405,0.4196242171189979,0.5111698895521322,-0.006454636152008962
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,naiveBayes,undersampling,noFeatureSel,271.0,163.0,42.0,16.0,0.6659714497589915,0.6361788617886179,0.7811889181609587,0.16614906832298154
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,naiveBayes,undersampling,noFeatureSel,252.0,179.0,87.0,16.0,0.7141866429493262,0.6348314606741573,0.8567176420423859,0.26797891036906857
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,ibk,undersampling,noFeatureSel,6.0,44.0,328.0,14.0,0.9162549230218402,0.8520408163265306,0.5908602150537634,0.10628930817610084
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,ibk,undersampling,noFeatureSel,12.0,2.0,197.0,4.0,0.9709492405084214,0.9720930232558139,0.8699748743718593,0.7850716427857378
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,ibk,undersampling,noFeatureSel,8.0,368.0,45.0,1.0,0.9578512523510354,0.12559241706161137,0.33319881624966374,-1.0276040127938251E-4
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,ibk,undersampling,noFeatureSel,11.0,55.0,369.0,4.0,0.9611687542367189,0.8656036446469249,0.7437106918238994,0.2286548140206676
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,ibk,undersampling,noFeatureSel,15.0,92.0,110.0,262.0,0.205768180577523,0.2609603340292276,0.38767559066375956,-0.3602496430233118
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,ibk,undersampling,noFeatureSel,274.0,103.0,102.0,13.0,0.7935263137661939,0.7642276422764228,0.8635166142602193,0.48252788104089234
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,ibk,undersampling,noFeatureSel,248.0,102.0,164.0,20.0,0.7995956917207527,0.7715355805243446,0.8031085175625632,0.5425385501221808
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,randomForest,SMOTE,noFeatureSel,0.0,0.0,372.0,20.0,NaN,0.9489795918367347,0.5658602150537635,0.0
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,randomForest,SMOTE,noFeatureSel,4.0,0.0,199.0,12.0,0.9473602997905874,0.9441860465116279,1.0,0.3815915627996161
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,randomForest,SMOTE,noFeatureSel,0.0,15.0,398.0,9.0,0.9570315684059759,0.943127962085308,0.28490718321226793,-0.027388922702374845
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,randomForest,SMOTE,noFeatureSel,4.0,3.0,421.0,11.0,0.9607633992599824,0.9681093394077449,0.8541666666666666,0.34949195596951776
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,randomForest,SMOTE,noFeatureSel,1.0,6.0,196.0,276.0,0.25773023904724834,0.4112734864300626,0.37454873646209386,-0.022094765356618643
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,randomForest,SMOTE,noFeatureSel,253.0,1.0,204.0,34.0,0.9381796025496812,0.9288617886178862,0.9660576187643409,0.8569482288828337
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,randomForest,SMOTE,noFeatureSel,242.0,42.0,224.0,26.0,0.8739741520282746,0.8726591760299626,0.9205336101447649,0.7452576046694355
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,naiveBayes,SMOTE,noFeatureSel,2.0,25.0,347.0,18.0,0.9059598877602791,0.8903061224489796,0.5961775839368005,0.028136531365313612
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,naiveBayes,SMOTE,noFeatureSel,0.0,0.0,199.0,16.0,NaN,0.9255813953488372,0.9956030150753769,0.0
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,naiveBayes,SMOTE,noFeatureSel,0.0,27.0,386.0,9.0,0.9563741076249325,0.9146919431279621,0.6333064299165994,-0.033047735618115345
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,naiveBayes,SMOTE,noFeatureSel,12.0,204.0,220.0,3.0,0.9547364406808516,0.5284738041002278,0.7827044025157233,0.04272666940555577
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,naiveBayes,SMOTE,noFeatureSel,236.0,122.0,80.0,41.0,0.660035638754847,0.6597077244258872,0.5388890874647031,0.2622622433456481
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,naiveBayes,SMOTE,noFeatureSel,262.0,159.0,46.0,25.0,0.632977596377951,0.6260162601626016,0.7755587660406221,0.15142198308993074
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,naiveBayes,SMOTE,noFeatureSel,254.0,182.0,84.0,14.0,0.7193416486272892,0.6329588014981273,0.8528609697142403,0.26417322834645673
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,ibk,SMOTE,noFeatureSel,2.0,6.0,366.0,18.0,0.9172512755102041,0.9387755102040817,0.5576612903225806,0.11711711711711785
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,ibk,SMOTE,noFeatureSel,12.0,0.0,199.0,4.0,0.9817619429487914,0.9813953488372092,0.7675879396984925,0.847409510290986
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,ibk,SMOTE,noFeatureSel,0.0,16.0,397.0,9.0,0.9569782644222912,0.9407582938388626,0.46731234866828086,-0.028064704735919314
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,ibk,SMOTE,noFeatureSel,9.0,1.0,423.0,6.0,0.9830750115488157,0.9840546697038725,0.7300314465408805,0.7121311475409836
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,ibk,SMOTE,noFeatureSel,8.0,8.0,194.0,269.0,0.4658440685914229,0.42171189979123175,0.49333380991528764,-0.009126655156940404
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,ibk,SMOTE,noFeatureSel,269.0,7.0,198.0,18.0,0.9504830917874395,0.9491869918699187,0.9534290813291408,0.8962655601659751
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,ibk,SMOTE,noFeatureSel,241.0,44.0,222.0,27.0,0.868504097208863,0.8670411985018727,0.8584684659409718,0.7340152376141769
Bookkeeper,1,5.110274255275726,2.631578966975212,5.102040991187096,randomForest,noSampling,bestFirst,2.0,3.0,369.0,18.0,0.925249169435216,0.9464285714285714,0.5792304421768708,0.1424999999999995
Bookkeeper,2,15.653577446937561,4.295532777905464,7.4418604373931885,randomForest,noSampling,bestFirst,12.0,0.0,199.0,4.0,0.9817619429487914,0.9813953488372092,0.9987437185929648,0.847409510290986
Bookkeeper,3,21.436256170272827,5.144290998578072,2.132701501250267,randomForest,noSampling,bestFirst,0.0,16.0,397.0,9.0,0.9569782644222912,0.9407582938388626,0.20112025317262688,-0.028064704735919314
Bookkeeper,4,32.78644382953644,4.101722687482834,3.4168563783168793,randomForest,noSampling,bestFirst,0.0,12.0,412.0,15.0,0.9319029303345371,0.9384965831435079,0.8162735849056605,-0.03132341425215477
Bookkeeper,5,44.59386765956879,3.9203859865665436,57.82880783081055,randomForest,noSampling,bestFirst,2.0,6.0,196.0,275.0,0.3200614780438724,0.4133611691022965,0.4093800618954594,-0.01904862851388891
Bookkeeper,6,57.47714042663574,16.003744304180145,58.33333134651184,randomForest,noSampling,bestFirst,249.0,126.0,79.0,38.0,0.6686723646723647,0.6666666666666666,0.6264808362369338,0.2694877505567928
Bookkeeper,7,70.71005702018738,23.925447463989258,50.18726587295532,randomForest,noSampling,bestFirst,239.0,120.0,146.0,29.0,0.7496963058015921,0.7209737827715356,0.7203316126136238,0.44122645617090606
